WBS_ID,Phase,Sprint,Work_Package,Task_ID,Task_Name,Description,Effort_Days,Dependencies,Owner_Role,Priority,Status,Note
6.0,Gap 5 — SIEM,v2,OpenSearch,6.1.1,docker-compose opensearch service,Add opensearch:2.x single-node + opensearch-dashboards to docker-compose.yml. Evaluate RAM headroom first.,1.0,None,DevOps,P1,Pending,v2 only
6.0,Gap 5 — SIEM,v2,OpenSearch,6.1.2,opensearch_writer.py,Write findings to index patronai-findings-{YYYY.MM.DD} after each compact cycle. 90-day ILM retention.,1.5,6.1.1,Backend,P1,Pending,v2 only
7.0,Gap 6 — UEBA,3,Log Analyzer Reader,7.1.1,log_analyzer_reader.py,New ingestor. Reads s3://patronai/anomalies/ via CursorStore. Same pattern as all other ingestors. source=log_analyzer. Skip malformed JSON.,0.75,None,Backend,P1,Pending,✅ findings_current/ already written by findings_compact.py
7.0,Gap 6 — UEBA,3,Log Analyzer Reader,7.1.2,Severity mapping + anomaly badge,If source==log_analyzer → severity=HIGH. Add AI Anomaly badge in manager_tab_risks.py.,0.25,7.1.1,Backend+Frontend,P1,Pending,
7.0,Gap 6 — UEBA,3,Log Analyzer Reader,7.1.3,Grace period suppression,During first ueba_grace_period_days (default 14): log anomalies but don't fire dispatcher. Baseline Building badge in dashboard.,0.5,7.1.1,Backend+Frontend,P0,Pending,Drama — prevents day-1 alert flood
7.0,Gap 6 — UEBA,3,Log Analyzer Reader,7.1.4,IAM role docs,Document IAM policy: Log Analyzer read-only on findings_current/ + write-only on anomalies/. In operator guide.,0.25,None,TW,P0,Pending,
8.0,Gap 7 — Compliance,3,Map + Reporter,8.1.1,compliance_map.yaml,Config file: NIST AI RMF / GDPR Art.22 / SOC2 CC6.1 unconditional. EU AI Act conditional with risk-tier caveat. framework_version + last_reviewed fields.,0.5,None,Security,P2,Pending,
8.0,Gap 7 — Compliance,3,Map + Reporter,8.1.2,build_compliance_annex() in data_builder.py,Tags each finding with matching control IDs from compliance_map.yaml.,0.75,8.1.1,Backend,P2,Pending,
8.0,Gap 7 — Compliance,3,Map + Reporter,8.1.3,R6 compliance controls table,Update r6_compliance.py — Controls Coverage table: covered vs uncovered controls.,0.75,8.1.2,Frontend,P2,Pending,
8.0,Gap 7 — Compliance,3,Staleness,8.2.1,90-day staleness banner,If compliance_map.yaml last_reviewed > 90 days: warning banner in dashboard + settings_form.,0.5,8.1.1,Frontend,P1,Pending,Drama — stale map is audit liability
9.0,QA + Docs,All,Cross-cutting,9.1.1,CISO deployment guide,Document all 7 gaps: Route53 setup / DLP proxy routing / Prism7 email wire / threat intel / Log Analyzer IAM / compliance map.,1.0,All sprints,TW,P1,Pending,
9.0,QA + Docs,All,Cross-cutting,9.1.2,Enforcement runbook,Pre-flight checklist before enabling enforcement. Rollback steps. DNS Firewall teardown.,0.5,2.4.1,TW,P1,Pending,
9.0,QA + Docs,All,Cross-cutting,9.1.3,Regression smoke tests,tests/integration/ covering: enforcement sync / DLP block / Prism7 dispatch / OTX enrich / Log Analyzer ingest / compliance tag.,1.0,All gaps,QA,P1,Pending,
