Persona,Feature Group,Feature,Outcome,Likely Code Location,Status (verify)
Support Team,Onboarding,Customer platform stand-up (setup.sh + IaC),Tenant operational within hours,scripts/setup.sh + terraform/,TBD
Support Team,Onboarding,Trinity integration wiring,Customer ITSM alignment,docs/trinity_integration.md,TBD
Support Team,Onboarding,Identity Center / LDAP / NAC adapter wiring,Alerts attribute to people,scanner/identity_adapters/,TBD
Support Team,Distribution,Sign + notarise macOS DMG (Apple Developer ID),Kernel-level trust + Gatekeeper pass,build/build-dmg.sh (planned),Pending
Support Team,Distribution,Hardened Runtime + entitlements,System integrity,build/entitlements.plist (planned),Pending
Support Team,Distribution,Marketplace rules push channel (under 6-hour propagation),Zero-touch rule updates,infra/rules_channel/,TBD
Support Team,Distribution,Cryptographically signed denylist updates,Agent trusts only authentic rules,infra/sign_rules.py,TBD
Support Team,Red Team,AIRTaaS quarterly attack coordination,Proven detection coverage,partnerships/airtaas/,TBD
Platform Admin,Subscription,AWS Marketplace subscription,Licensing + consolidated billing,Marketplace listing,TBD
Platform Admin,Subscription,Cloud-provider selection (CLOUD_PROVIDER env),Multi-cloud deployment,scanner/cloud_adapters/,TBD
Platform Admin,IAM,Tenant IAM role + STS + external_id,Scoped least-privilege access,terraform/iam.tf,TBD
Platform Admin,IAM,Infrastructure-as-code apply (Terraform / CloudFormation),Repeatable stand-up,terraform/ + cloudformation/,TBD
Platform Admin,Governance,Approves rule updates from Marketplace channel,Customer-side governance control,user_interface/rule_approval.py (planned),TBD
Platform Admin,Governance,Read-only governance view across all dashboards,Oversight without daily ops burden,auth/role_governance.py,TBD
Platform Admin,Governance,Budget / tagging / cost allocation,Financial accountability,terraform/tags.tf,TBD
Platform Admin,Rollout,MDM agent packaging (Jamf / Intune / Ansible),Fleet-wide coverage,agent/install/{jamf,intune,ansible}.sh,Pending (macOS first)
Platform Admin,Rollout,Pilot device group selector,Phased rollout,user_interface/pilot_groups.py,TBD
Platform Admin,Identity,Identity Center / SSO wiring,Enterprise sign-in,scanner/identity_adapters/sso.py,TBD
Platform Admin,Identity,NAC / IP-to-user CSV upload,Alerts attributed to users,identity/ prefix in S3,TBD
Platform Admin,Configuration,Initial allow list seed (internal AI endpoints),Pre-approved internal gateways,config/authorized.csv,Done (template)
Platform Admin,Configuration,Admin password rotation,Security hygiene,user_interface/admin_password.py,TBD
Platform Admin,Telemetry,Enable VPC Flow Logs across all VPCs,Cloud workload coverage,scripts/enable_flow_logs.sh,TBD
Platform Admin,Telemetry,Network sensor (Packetbeat / Zeek) deployment to perimeter,On-prem perimeter coverage,agent/install/network_sensor.sh,TBD
Cross-cutting,Storage,S3 single source of truth (config / ocsf / findings / summary / cursor / dedup / identity / reports),All state in one place — no DB to manage,s3 prefix layout,TBD
Cross-cutting,Storage,Hive-style partitioning (group=.../user=.../device=.../YYYY/MM/DD/),Efficient query + lifecycle,scanner/s3_paths.py,Pending
Cross-cutting,Storage,30-day hot then archive lifecycle,Cost containment,terraform/s3_lifecycle.tf,TBD
Cross-cutting,Detection,Network layer (VPC Flow / Packetbeat / Zeek),Catch outbound AI calls,scanner/ingesters/,TBD
Cross-cutting,Detection,Code layer (Marauder Scan + GitLeaks),Catch frameworks + keys at commit,marauder-scan/,TBD
Cross-cutting,Detection,Desktop agent layer (macOS DMG first),Catch off-network laptops,agent/macos/ (planned),Pending
Cross-cutting,Detection,Heartbeat ingestion from agents,Device liveness + signal feed,scanner/heartbeat_ingester.py (planned),Pending
Cross-cutting,Coverage Gaps,Fully offline local inference (USB-copied model),Documented as accepted gap,docs/known_gaps.md,Done (documented)
Cross-cutting,Coverage Gaps,Personal cloud accounts (personal credit card),Documented as accepted gap,docs/known_gaps.md,Done (documented)
Cross-cutting,Coverage Gaps,Web UI manual copy-paste into ChatGPT,Documented as accepted gap,docs/known_gaps.md,Done (documented)
Cross-cutting,Coverage Gaps,Personal laptop outside VPN,Out of scope — accepted risk,docs/known_gaps.md,Done (documented)
SecOps Manager,AI Inventory,MCP server inventory across fleet (Claude Desktop / Cursor / Continue / Cline),Real per-server visibility with config hash for change detection,agent/install/scan_mcp_configs.py.frag,Done (Phase 1A)
SecOps Manager,AI Inventory,Agent workflow + scheduled-agent inventory (n8n / Flowise / cron / launchd),Catches autonomous loops that don't show as running processes,agent/install/scan_agents_workflows.py.frag,Done (Phase 1A)
SecOps Manager,AI Inventory,Tool registration discovery (`@tool` decorators in repos),Inventory of LLM tools agents have access to,agent/install/scan_tools_code.py.frag,Done (Phase 1A)
SecOps Manager,AI Inventory,Local vector DB inventory (Chroma / FAISS / LanceDB / Qdrant / Milvus),Discover RAG stores holding org data,agent/install/scan_vector_dbs.py.frag,Done (Phase 1A)
SecOps Manager,AI Inventory,Per-user AI Asset Map (Plotly Treemap),Click any owner email to see their full AI footprint grouped by repo,dashboard/ui/asset_map.py,Done (Phase 1A)
SecOps Manager,AI Inventory,MCP config-change alerts (HIGH severity),Fires when someone edits their MCP config — hash-flip detection,src/ingestor/pipeline_mcp_change.py,Done (Phase 1A)
SecOps Manager,Privacy,Secret redaction on every agent finding (API keys / JWTs / paths),Privacy gate — partial redactions never shipped,agent/install/scan_redactor.py.frag,Done (Phase 1A)
Platform Admin,RBAC,Interactive Users settings tab — add / edit / remove users,No more env-var redeploy to change access,dashboard/ui/tabs/users.py,Done (Phase 1B)
Platform Admin,RBAC,Three roles (exec / manager / support) + admin checkbox,Per-role tab visibility; admin sees all + Settings,src/store/users_store.py,Done (Phase 1B)
Platform Admin,RBAC,First-run env-var migration to s3 users.json,Existing access preserved without redeploy,src/store/users_store.py:_migrate_from_env,Done (Phase 1B)
End User,UX,Browser-local timezone on every timestamp,Read DD-MMM-YY HH:MM:SS in your local TZ; UTC tooltip on hover,dashboard/ui/time_fmt.py,Done (Phase 1B)
End User,UX,Global search bar on every grid,Substring match across all string columns,dashboard/ui/filtered_table.py,Done (Phase 1B)
