id,title,category,priority,effort,status,owner,target_release,notes
DONE,Hourly S3 rollups for chat data backend,FEATURE,DONE,L,merged,—,v1.0,—
DONE,BM25 docs RAG over HTML+MD with auto-refresh,LLM,DONE,M,merged,—,v1.0,docs/chat-rollups.md
DONE,Citations on every chat tool result,LLM,DONE,S,merged,—,v1.0,—
DONE,SES recipient auto-verify on registration,SECURITY,DONE,S,merged,—,v1.0,Superseded by notify.email
DONE,Per-platform DMG/EXE filtering on agent deploy,UX,DONE,XS,merged,—,v1.0,—
DONE,SigV4 forced on every S3 client,SECURITY,DONE,XS,merged,—,v1.0,Fixes SignatureDoesNotMatch under SSE-KMS
DONE,scripts/start.sh + prefetch_model.sh,OPS,DONE,S,merged,—,v1.0,One-command safe restart
DONE,EDR-not-configured banner reworded to neutral info,UX,DONE,XS,merged,—,v1.0,—
DONE,docker-compose AWS_* env-shadow fix,OPS,DONE,XS,merged,—,v1.0,—
DONE,Chat prompt: ≤100 words bulleted + mandatory Sources footer + reasoning strip,LLM,DONE,S,merged,—,v1.0,—
DONE,LLM perf: --threads + --predict + max_tokens 384,LLM,DONE,XS,merged,—,v1.0,5-8× CPU speedup
DONE,Docs aligned to LFM2.5 (Qwen refs purged),DOCS,DONE,XS,merged,—,v1.0,—
