path,layer,purpose,key_exports,depends_on,notes
ghost-ai-scanner/scripts/render_agent_package.py,SCRIPT,OTP + presigned URL + DMG/EXE builder,render_agent_package _send_email,store.agent_store notify.email build_agent_artifacts,Email delegated to notify.email
ghost-ai-scanner/scripts/patronai_mcp_server.py,SCRIPT,FastMCP exposure of 8 chat tools · SSH stdio transport,8 @mcp.tool() functions,fastmcp chat.tools query.rollup_reader,V1: SSH-only · V2: SSE+JWT planned
ghost-ai-scanner/scripts/build_agent_artifacts.py,SCRIPT,Build macOS DMG + Windows EXE one-click installers,_build_macos_dmg _build_windows_exe,genisoimage makensis,Called by render_agent_package
ghost-ai-scanner/scripts/scan_fragment_loader.py,SCRIPT,Concatenate scan_*.py.frag → INLINE_SCAN_PYTHON for installer templates,load_scan_fragments,agent/install/scan_*.frag,—
ghost-ai-scanner/scripts/refresh_eni_cache.py,SCRIPT,Populate ENI metadata cache (run once after first deploy),—,boto3 ec2,—
ghost-ai-scanner/scripts/git-hooks/pre-commit,SCRIPT,Local pre-commit hook · scans staged files for AWS key patterns,—,—,Install via scripts/git-hooks/install.sh
ghost-ai-scanner/config/unauthorized.csv,CONFIG,70+ AI provider domains (Giggso baseline),—,—,Reload every scan cycle
ghost-ai-scanner/config/unauthorized_custom.csv,CONFIG,Customer additions (UI-editable),—,—,Custom wins on (domain port) collision
ghost-ai-scanner/config/authorized.csv,CONFIG,Customer allow list — suppress alerts for approved endpoints,—,—,—
ghost-ai-scanner/config/eni_denylist.yaml,CONFIG,VPC ENI types to skip during normalisation,—,—,5-type denylist
ghost-ai-scanner/agent/install/,CONFIG,Hook-agent fragment templates (sh + ps1),—,scan_fragment_loader,Templates only — never the rendered output
ghost-ai-scanner/grafana/dashboards/marauder-overview.json,CONFIG,Pre-built Grafana dashboard,—,—,Provisioned on first boot
ghost-ai-scanner/nginx/nginx.conf,CONFIG,Reverse proxy config (Streamlit + Grafana subpaths),—,—,—
ghost-ai-scanner/tests/unit/test_chat_tools.py,TEST,Rollup-backed chat tool shapes + citations + no_data,—,chat.tools,Mocks read_dimension_range
ghost-ai-scanner/tests/unit/test_docs_index.py,TEST,BM25 docs RAG + HTML stripper void-tag regression guard,—,chat.docs_index,—
ghost-ai-scanner/tests/unit/test_notify_email.py,TEST,Unified email module + shim integration,—,notify.email,17 tests covering all paths
ghost-ai-scanner/tests/unit/test_secret_patterns.py,TEST,CI guard against AKIA leak in any tracked file,—,—,Catches --no-verify bypasses
ghost-ai-scanner/tests/unit/test_alerter.py,TEST,SNS + webhook dispatcher,—,alerter.dispatcher,—
ghost-ai-scanner/tests/unit/test_normalizer.py,TEST,OCSF flat schema + parsers,—,normalizer,—
ghost-ai-scanner/tests/unit/test_matcher.py,TEST,CSV rule engine,—,matcher,—
ghost-ai-scanner/tests/unit/test_users_store.py,TEST,RBAC CRUD + first-run env-var migration,—,store.users_store,—
ghost-ai-scanner/tests/unit/test_agent_explode_phase1a.py,TEST,Endpoint scan flattening,—,normalizer.agent_explode,—
ghost-ai-scanner/tests/unit/test_render_agent_package.py,TEST,OTP + presigned URL + DMG/EXE builder,—,scripts/render_agent_package,—
ghost-ai-scanner/tests/integration/test_pipeline.py,TEST,Localstack-required end-to-end pipeline test,—,localstack,Skipped without localstack
