# =============================================================
# FILE: config/unauthorized_code.csv
# PROJECT: PatronAI — Marauder Scan code layer
# VERSION: 1.1.0
# UPDATED: 2026-04-25
# OWNER: Giggso Inc
# PURPOSE: Deny-all list of AI framework, MCP and agent patterns.
#          Maintained by Giggso. Do not edit — use authorized_code.csv
#          to approve specific items for your organisation.
#          Checked AFTER authorized_code.csv.
#          Match = CODE_ALERT with specified severity.
# FORMAT: name, type, pattern, severity, notes
# AUDIT LOG:
#   v1.0.0  2026-04-18  Initial.
#   v1.1.0  2026-04-25  Group 2.A — IDE plugin IDs (VS Code + JetBrains)
#                       for Copilot, Codeium, Tabnine, Continue, Amazon Q.
# =============================================================
name,type,pattern,severity,notes
JSON-RPC MCP,mcp,jsonrpc.*tool,HIGH,JSON-RPC tool call pattern typical of MCP

# ── CODE ASSISTANT TOOLS ──────────────────────────────────────
Cursor AI,tool,cursor.sh,MEDIUM,Cursor AI code assistant — check if company licensed
Cursor API,tool,api2.cursor.sh,MEDIUM,Cursor backend API
Cline,tool,cline,MEDIUM,VS Code AI coding agent
Roo Code,tool,roo-code,MEDIUM,AI coding agent
Kilo Code,tool,kilo-code,MEDIUM,AI coding agent
Aider,tool,aider,MEDIUM,AI pair programmer via terminal

# ── IDE PLUGIN IDS (VS Code + JetBrains) ─────────────────────
GitHub Copilot VSCode,ide_plugin,github.copilot,HIGH,VS Code Copilot extension
GitHub Copilot Chat VSCode,ide_plugin,github.copilot-chat,HIGH,VS Code Copilot Chat
Codeium VSCode,ide_plugin,codeium.codeium,HIGH,VS Code Codeium extension
Tabnine VSCode,ide_plugin,tabnine.tabnine-vscode,HIGH,VS Code Tabnine extension
Continue VSCode,ide_plugin,continue.continue,MEDIUM,Open-source AI coding agent
Amazon Q VSCode,ide_plugin,aws.amazon-q-vscode,HIGH,Amazon Q Developer extension
GitHub Copilot JetBrains,ide_plugin,com.github.copilot,HIGH,JetBrains Copilot plugin
Codeium JetBrains,ide_plugin,com.codeium.intellij,HIGH,JetBrains Codeium plugin
Tabnine JetBrains,ide_plugin,com.tabnine.intellij,HIGH,JetBrains Tabnine plugin

# ── HARDCODED AI ENDPOINTS ────────────────────────────────────
Hardcoded OpenAI,api,api.openai.com,CRITICAL,Hardcoded endpoint — must use Parameter Store key
Hardcoded Anthropic,api,api.anthropic.com,CRITICAL,Hardcoded endpoint — must use Parameter Store key
Hardcoded Cohere,api,api.cohere.ai,CRITICAL,Hardcoded endpoint
Hardcoded Mistral,api,api.mistral.ai,CRITICAL,Hardcoded endpoint
Hardcoded HuggingFace,api,api-inference.huggingface.co,CRITICAL,Hardcoded endpoint
Hardcoded Together,api,api.together.xyz,CRITICAL,Hardcoded endpoint
Hardcoded Replicate,api,api.replicate.com,CRITICAL,Hardcoded endpoint
Hardcoded Groq,api,api.groq.com,CRITICAL,Hardcoded endpoint
Hardcoded Perplexity,api,api.perplexity.ai,CRITICAL,Hardcoded endpoint
Hardcoded Google AI,api,generativelanguage.googleapis.com,CRITICAL,Hardcoded Gemini endpoint

# ── LOCAL INFERENCE SERVERS ───────────────────────────────────
Ollama import,local,import ollama,HIGH,Ollama Python client — local model server
Ollama from,local,from ollama,HIGH,Ollama Python client alt
LM Studio SDK,local,lm_studio,HIGH,LM Studio SDK import
Llama CPP Python,local,llama_cpp,HIGH,Local llama.cpp Python bindings
GPT4All,local,gpt4all,HIGH,Local GPT4All model runner
LocalAI,local,localai,HIGH,LocalAI server client

# ── AI KEY PATTERNS ───────────────────────────────────────────
OpenAI Key Hardcoded,key,sk-proj-,CRITICAL,Hardcoded OpenAI project key
OpenAI Key Old,key,sk-[a-zA-Z0-9]{48},CRITICAL,Hardcoded OpenAI legacy key pattern
Anthropic Key,key,sk-ant-,CRITICAL,Hardcoded Anthropic API key
HuggingFace Token,key,hf_[a-zA-Z0-9]{36},CRITICAL,Hardcoded HuggingFace token
Cohere Key,key,co-[a-zA-Z0-9]{40},CRITICAL,Hardcoded Cohere API key
